FacilityName,FacilityNameFull,City,END
Bellefaire-Intensive,Bellefaire-Intensive,Shaker Heights,
Bellefaire-Monarch Boarding Academy,Bellefaire-Monarch Boarding Academy,Shaker Heights,
Bellefaire-Monarch School,Bellefaire-Monarch School,Shaker Heights,
Bellefaire-Transitional,Bellefaire-Transitional,Shaker Heights,
Belleville Area Special Services,Belleville Area Special Services,Belleville,
Belleville High School-East,Belleville High School-East,Belleville,
Belleville High School-West,Belleville High School-West,Belleville,
Belleville SD 118,Belleville SD 118,Belleville,
Belleville Twp HSD 201,Belleville Twp HSD 201,Belleville,
Belleville Twp HS-Night/Alt Sch,Belleville Twp HS-Night/Alt Sch,Belleville,
Bell-Graham Elementary School,Bell-Graham Elementary School,Saint Charles,
Bellwood SD 88,Bellwood SD 88,Bellwood,
Belmont-Cragin Elem School,Belmont-Cragin Elem School,Chicago,
Belvidere Central Middle School,Belvidere Central Middle School,Belvidere,
Belvidere CUSD 100,Belvidere CUSD 100,Belvidere,
Belvidere High School,Belvidere High School,Belvidere,
Belvidere North High Sch,Belvidere North High Sch,Belvidere,
Belvidere South Middle School,Belvidere South Middle School,Belvidere,
Bement CUSD 5,Bement CUSD 5,Bement,
Bement Elementary School,Bement Elementary School,Bement,
Bement High School,Bement High School,Bement,
Bement Middle School,Bement Middle School,Bement,
Benavides Steam Academy,Benavides Steam Academy,Aurora,
Benet Academy,Benet Academy,Lisle,
Ben-Gil Elementary School,Ben-Gil Elementary School,Gillespie,
Benjamin Elem School,Benjamin Elem School,Bloomington,
Benjamin Franklin Elem School,Benjamin Franklin Elem School,Glen Ellyn,
Benjamin Franklin Elem School,Benjamin Franklin Elem School,Decatur,
Benjamin Franklin Elem School,Benjamin Franklin Elem School,Moline,
Benjamin Franklin Middle School,Benjamin Franklin Middle School,Springfield,
Benjamin Middle School,Benjamin Middle School,West Chicago,
Benjamin SD 25,Benjamin SD 25,West Chicago,
Bennett Day School,Bennett Day School,Chicago,
Bennett Elem School,Bennett Elem School,Chicago,
Bensenville SD 2,Bensenville SD 2,Bensenville,
Bent Elem School,Bent Elem School,Bloomington,
Bentley Elem School,Bentley Elem School,New Lenox,
Benton CCSD 47,Benton CCSD 47,Benton,
Benton Cons High School,Benton Cons High School,Benton,
Benton Cons HSD 103,Benton Cons HSD 103,Benton,
Benton Grade Sch 5-8,Benton Grade Sch 5-8,Benton,
Benton Grade Sch K-4,Benton Grade Sch K-4,Benton,
Berean Baptist Christian School,Berean Baptist Christian School,Rockford,
Berean Christian School,Berean Christian School,Fairview Heights,
Berger-Vandenberg Elem School,Berger-Vandenberg Elem School,Dolton,
Berkeley SD 87,Berkeley SD 87,Berkeley,
Bernard J Ward Elem School,Bernard J Ward Elem School,Bolingbrook,
Bernard Long Elem School,Bernard Long Elem School,Madison,
Bernard W Flinn Middle School,Bernard W Flinn Middle School,Rockford,
Bernard Zell Anshe Emet Day Sch,Bernard Zell Anshe Emet Day Sch,Chicago,
Bert H Fulton School,Bert H Fulton School,Tinley Park,
Berwyn North SD 98,Berwyn North SD 98,Berwyn,
Berwyn South SD 100,Berwyn South SD 100,Berwyn,
Betel Christian School,Betel Christian School,Bartlett,
Bethalto CUSD 8,Bethalto CUSD 8,Bethalto,
Bethalto East Primary School,Bethalto East Primary School,Bethalto,
Bethany Lutheran School,Bethany Lutheran School,Naperville,
Bethel Christian School,Bethel Christian School,Chicago,
Bethel Grade School,Bethel Grade School,Mount Vernon,
Bethel Lutheran School,Bethel Lutheran School,Morton,
Bethel SD 82,Bethel SD 82,Mount Vernon,
Bethesda International Academy,Bethesda International Academy,Chicago,
Betsy Ross Elem School,Betsy Ross Elem School,Prospect Heights,
Betsy Ross Elem School,Betsy Ross Elem School,Forest Park,
Betty Shabazz International Charter School,Betty Shabazz International Charter School,Chicago,
Betty Shabazz International Charter School,Betty Shabazz International Charter School,Chicago,
Beulah Park Elem School,Beulah Park Elem School,Zion,
Beverly Hills S D A School,Beverly Hills S D A School,Chicago,
Beverly Manor Elementary School,Beverly Manor Elementary School,Washington,
Beverly Montessori School,Beverly Montessori School,Chicago,
Beyer Early Childhood Center,Beyer Early Childhood Center,Rockford,
Bicentennial Elem School,Bicentennial Elem School,Coal Valley,
Bi-County Sp Ed HI HS,Bi-County Sp Ed HI HS,Sterling,
Bi-County Sp Ed Preschool Program,Bi-County Sp Ed Preschool Program,Sterling,
Bi-County Sp Ed-3-5 Life Skills-Morrison,Bi-County Sp Ed-3-5 Life Skills-Morrison,Morrison,
Bi-County Sp Ed-3-5 LIfe Skills-Sterling,Bi-County Sp Ed-3-5 LIfe Skills-Sterling,Sterling,
Bi-County Sp Ed-ECSE Montmorency,Bi-County Sp Ed-ECSE Montmorency,Rock Falls,
Bi-County Sp Ed-ECSE Prophetstown,Bi-County Sp Ed-ECSE Prophetstown,Prophetstown,
Bi-County Sp Ed-ECSE Tampico,Bi-County Sp Ed-ECSE Tampico,Tampico,
Bi-County Sp Ed-HI Elem,Bi-County Sp Ed-HI Elem,Rock Falls,
Bi-County Sp Ed-HI MS,Bi-County Sp Ed-HI MS,Sterling,
Bi-County Sp Ed-HS LIfe Skills-Sterling,Bi-County Sp Ed-HS LIfe Skills-Sterling,Sterling,
Bi-County Sp Ed-Jr HS LIfe Skills-Sterling,Bi-County Sp Ed-Jr HS LIfe Skills-Sterling,Sterling,
Bi-County Sp Ed-K-2 Life Skills-Morrison,Bi-County Sp Ed-K-2 Life Skills-Morrison,Morrison,
Bi-County Sp Ed-K-2 LIfe Skills-Sterling,Bi-County Sp Ed-K-2 LIfe Skills-Sterling,Sterling,
Bi-County Sp Ed-Life Skill Jr Hgh-Morrison,Bi-County Sp Ed-Life Skill Jr Hgh-Morrison,Morrison,
Bi-County Sp Ed-Life Skills HS-Morrison,Bi-County Sp Ed-Life Skills HS-Morrison,Morrison,
Bi-County Sp Ed-Transition Life Skills-Sterling,Bi-County Sp Ed-Transition Life Skills-Sterling,Sterling,
Bi-County Special Educ Coop,Bi-County Special Educ Coop,Sterling,
Big Hollow Elem School,Big Hollow Elem School,Ingleside,
Big Hollow Middle School,Big Hollow Middle School,Ingleside,
Big Hollow Primary School,Big Hollow Primary School,Ingleside,
Big Hollow SD 38,Big Hollow SD 38,Ingleside,
Bishop McNamara Catholic School,Bishop McNamara Catholic School,Kankakee,
Bismarck Henning CUSD,Bismarck Henning CUSD,Bismarck,
Bismarck Henning Rossville Alvin Cooperative High School,Bismarck Henning Rossville Alvin Cooperative High School,Bismarck,
Bismarck-Henning Elem School,Bismarck-Henning Elem School,Bismarck,
Bismarck-Henning Jr High School,Bismarck-Henning Jr High School,Bismarck,
Bismarck-Henning Rossville-Alvin Cooperative HS 7,Bismarck-Henning Rossville-Alvin Cooperative HS 7,Rossville,
Bismarck-Henning Rossville-Alvin Cooperative HS 1,Bismarck-Henning Rossville-Alvin Cooperative HS 1,Bismarck,
Black Hawk Area DHH Program,Black Hawk Area DHH Program,East Moline,
Black Hawk Area Sp Ed District,Black Hawk Area Sp Ed District,East Moline,
Black Hawk Area Special Education Center,Black Hawk Area Special Education Center,East Moline,
Black Hawk Elem School,Black Hawk Elem School,Glendale Heights,
Black Hawk Elem School,Black Hawk Elem School,Springfield,
Black Magnet Elem School,Black Magnet Elem School,Chicago,
Blackhawk Elem School,Blackhawk Elem School,Freeport,
Blackhawk Elementary School,Blackhawk Elementary School,South Beloit,
Blackhawk Middle School,Blackhawk Middle School,Bensenville,
Blackhawk Primary Center,Blackhawk Primary Center,Park Forest,
Blackstone Elem School,Blackstone Elem School,Mendota,
Blaine Elem School,Blaine Elem School,Chicago,
Blair Early Childhood Center,Blair Early Childhood Center,Chicago,
Blessed Sacrament,Blessed Sacrament,Belleville,
Blessed Sacrament,Blessed Sacrament,Springfield,
Blessed Sacrament,Blessed Sacrament,Morton,
Blessed Sacrament Catholic School,Blessed Sacrament Catholic School,Quincy,
Bloom High School,Bloom High School,Chicago Heights,
Bloom Trail High School,Bloom Trail High School,Chicago Heights,
Bloom Twp HSD 206,Bloom Twp HSD 206,Chicago Heights,
Bloomingdale SD 13,Bloomingdale SD 13,Bloomingdale,
Bloomington Area Career Center,Bloomington Area Career Center,Bloomington,
Bloomington High School,Bloomington High School,Bloomington,
Bloomington Jr High School,Bloomington Jr High School,Bloomington,
Bloomington SD 87,Bloomington SD 87,Bloomington,
Blue Island Ctz for Pers W/DD,Blue Island Ctz for Pers W/DD,Blue Island,
Blue Ridge CUSD 18,Blue Ridge CUSD 18,Farmer City,
Blue Ridge High School,Blue Ridge High School,Farmer City,
Blue Ridge Intermediate-Jr High Sch,Blue Ridge Intermediate-Jr High Sch,Mansfield,
Bluffs Elementary School,Bluffs Elementary School,Bluffs,
Bluffs High School,Bluffs High School,Bluffs,
Bluffs Junior High School,Bluffs Junior High School,Bluffs,
Bluffview Elem School,Bluffview Elem School,Dupo,
Bluford Grade School,Bluford Grade School,Bluford,
Bluford Unit School District 318,Bluford Unit School District 318,Bluford,
Blythe Park Elem School,Blythe Park Elem School,Riverside,
BMP Tri County Special Ed Coop,BMP Tri County Special Ed Coop,Tiskilwa,
Bnos Rabbeinu High School,Bnos Rabbeinu High School,Chicago,
Bobbie Noonans Child Care,Bobbie Noonans Child Care,Lockport,
Bobbie Noonans Child Care,Bobbie Noonans Child Care,Joliet,
Bobbie Noonans Child Care,Bobbie Noonans Child Care,Homer Glen,
Bogan High School,Bogan High School,Chicago,
Bolingbrook High School,Bolingbrook High School,Bolingbrook,
Bond County CUSD 2,Bond County CUSD 2,Greenville,
Bond County CUSD 2 Early Childhood Center,Bond County CUSD 2 Early Childhood Center,Greenville,
Bond Cty Comm Unit 2 High School,Bond Cty Comm Unit 2 High School,Greenville,
Bond Elem School,Bond Elem School,Chicago,
Bond Fayette Effingham EFE 410,Bond Fayette Effingham EFE 410,Vandalia,
Bond Primary,Bond Primary,Assumption,
Bond/Christian/Effingham/Fayette/Montgomery ROE,Bond/Christian/Effingham/Fayette/Montgomery ROE,Vandalia,
Bonfield Grade School,Bonfield Grade School,Bonfield,
Bonnie McBeth Learning Ctr,Bonnie McBeth Learning Ctr,Plainfield,
Boone Elem School,Boone Elem School,Chicago,
Boone/Winnebago ROE,Boone/Winnebago ROE,Loves Park,
Booth Elementary School,Booth Elementary School,Enfield,
Booth Tarkington Elem School,Booth Tarkington Elem School,Wheeling,
Boston Higashi - Extended,Boston Higashi - Extended,Randolph,
Boston Higashi School,Boston Higashi School,Randolph,
Bottenfield Elem School,Bottenfield Elem School,Champaign,
Bouchet Elem Math & Science Acad,Bouchet Elem Math & Science Acad,Chicago,
Boulder Hill Elem School,Boulder Hill Elem School,Montgomery,
Bourbonnais SD 53,Bourbonnais SD 53,Bourbonnais,
Bourbonnais Upper Grade Center,Bourbonnais Upper Grade Center,Bourbonnais,
Bowen High School,Bowen High School,Chicago,
Bower Elem School,Bower Elem School,Warrenville,
Bowlesburg Elem School,Bowlesburg Elem School,Silvis,
Boylan Central Catholic High Sch,Boylan Central Catholic High Sch,Rockford,
Boys Town Interim Program Schools,Boys Town Interim Program Schools,Omaha,
Boys Town Schools,Boys Town Schools,Boys Town,
BR RICE HIGH SCHOOL,BR RICE HIGH SCHOOL,CHICAGO,
Braceville Elem School,Braceville Elem School,Braceville,
Braceville SD 75,Braceville SD 75,Braceville,
Bradford CUSD 1,Bradford CUSD 1,Bradford,
Bradford Grade School,Bradford Grade School,Bradford,
Bradford Jr High School,Bradford Jr High School,Bradford,
Bradley Bourbonnais CHSD 307,Bradley Bourbonnais CHSD 307,Bradley,
Bradley Central Middle School,Bradley Central Middle School,Bradley,
Bradley East Elem School,Bradley East Elem School,Bradley,
Bradley SD 61,Bradley SD 61,Bradley,
Bradley West Elem School,Bradley West Elem School,Bradley,
Bradley-Bourbonnais C High School,Bradley-Bourbonnais C High School,Bradley,
Bradwell Comm Arts & Sci Elem Sch,Bradwell Comm Arts & Sci Elem Sch,Chicago,
Braeside Elem School,Braeside Elem School,Highland Park,
Branches of Montessori,Branches of Montessori,Homewood,
Braun Educational Center,Braun Educational Center,Oak Forest,
Breese Elem School,Breese Elem School,Breese,
Breese ESD 12,Breese ESD 12,Breese,
Brehm Preparatory School,Brehm Preparatory School,Carbondale,
Brehm Preparatory School-Day,Brehm Preparatory School-Day,Carbondale,
Bremen CHSD 228,Bremen CHSD 228,Midlothian,
Bremen High School,Bremen High School,Midlothian,
Brennemann Elem School,Brennemann Elem School,Chicago,
Brentano Elem Math & Science Acad,Brentano Elem Math & Science Acad,Chicago,
Brentwood Baptist Christian Acad,Brentwood Baptist Christian Acad,Des Plaines,
Brentwood Elem School,Brentwood Elem School,Des Plaines,
Bret Harte Elem School,Bret Harte Elem School,Chicago,
Briar Glen Elem School,Briar Glen Elem School,Wheaton,
Briargate Elem School,Briargate Elem School,Cary,
Brickton Montessori School,Brickton Montessori School,Chicago,
Bridge Elem School,Bridge Elem School,Chicago,
Bridgepoint Acad of Orland Park,Bridgepoint Acad of Orland Park,Orland Park,
Bridgeport Catholic - S Campus,Bridgeport Catholic - S Campus,Chicago,
Bridgeport Grade School,Bridgeport Grade School,Bridgeport,
Bridges Acad of McHenry Cty,Bridges Acad of McHenry Cty,Algonquin,
Bridges Acad of McHenry Cty INT,Bridges Acad of McHenry Cty INT,Algonquin,
Bridges Learning Center,Bridges Learning Center,Centralia,
Bridges Montessori Academy,Bridges Montessori Academy,St Charles,
Bridgescape Academy Brainerd,Bridgescape Academy Brainerd,Chicago,
Bridgescape Academy Humboldt Park,Bridgescape Academy Humboldt Park,Chicago,
Bridgescape Academy North Lawndal,Bridgescape Academy North Lawndal,Chicago,
Bridgescape Academy Roseland,Bridgescape Academy Roseland,Chicago,
Bridgeview Elem School,Bridgeview Elem School,Bridgeview,
Brigham Elementary,Brigham Elementary,Bloomington,
Bright Elem School,Bright Elem School,Chicago,
Bright Futures Pre-K Prog,Bright Futures Pre-K Prog,Galesburg,
Bright Minds Educational Program,Bright Minds Educational Program,Charleston,
Brighton North Primary School,Brighton North Primary School,Brighton,
Brighton Park Elem School,Brighton Park Elem School,Chicago,
Brimfield CUSD 309,Brimfield CUSD 309,Brimfield,
Brimfield Grade School,Brimfield Grade School,Brimfield,
Brimfield High School,Brimfield High School,Brimfield,
Brisk Academy-Yeshivas Brisk,Brisk Academy-Yeshivas Brisk,Chicago,
Bristol Bay Elem Sch,Bristol Bay Elem Sch,Yorkville,
Bristol Grade School,Bristol Grade School,Bristol,
British School of Chicago,British School of Chicago,Chicago,
Britten School,Britten School,Westchester,
Broadmeadow Elem School,Broadmeadow Elem School,Rantoul,
Broadmoor Junior High School,Broadmoor Junior High School,Pekin,
Brokaw Early Learning Center,Brokaw Early Learning Center,Oswego,
Broken But Not Shattered Academy,Broken But Not Shattered Academy,Pontoon Beach,
Bronzeville Academy Charter School,Bronzeville Academy Charter School,Chicago,
Bronzeville Academy Chtr School,Bronzeville Academy Chtr School,Chicago,
Bronzeville Classical Elementary School,Bronzeville Classical Elementary School,Chicago,
Bronzeville Scholastic HS,Bronzeville Scholastic HS,Chicago,
Brook Forest Elem School,Brook Forest Elem School,Oak Brook,
Brook Park Elem School,Brook Park Elem School,La Grange Park,
Brookdale Elementary School,Brookdale Elementary School,Naperville,
Brookfield Lagrange Park SD 95,Brookfield Lagrange Park SD 95,Brookfield,
Brooklyn UD 188,Brooklyn UD 188,Lovejoy,
Brookport Elementary School,Brookport Elementary School,Brookport,
Brooks College Prep Academy HS,Brooks College Prep Academy HS,Chicago,
Brooks Middle School,Brooks Middle School,Harvey,
Brooks Middle School,Brooks Middle School,Bolingbrook,
Brookview Elem School,Brookview Elem School,Rockford,
Brookwood Jr High School,Brookwood Jr High School,Glenwood,
Brookwood Middle School,Brookwood Middle School,Glenwood,
Brookwood SD 167,Brookwood SD 167,Glenwood,
Brother Rice High School,Brother Rice High School,Chicago,
Brown W Elem School,Brown W Elem School,Chicago,
Brown County CUSD 1,Brown County CUSD 1,Mount Sterling,
Brown County Elementary School,Brown County Elementary School,Mount Sterling,
Brown County High School,Brown County High School,Mount Sterling,
Brown County Middle School,Brown County Middle School,Mount Sterling,
Brown R Elem Community Acad,Brown R Elem Community Acad,Chicago,
Brownell Elem School,Brownell Elem School,Chicago,
Brownstown CUSD 201,Brownstown CUSD 201,Brownstown,
Brownstown Elem School,Brownstown Elem School,Brownstown,
Brownstown High School,Brownstown High School,Brownstown,
Brownstown Jr High School,Brownstown Jr High School,Brownstown,
Brownsville Attendance Center,Brownsville Attendance Center,Carmi,
Bruning Elem School,Bruning Elem School,Wilmington,
Brunson Math & Sci Specialty Elem,Brunson Math & Sci Specialty Elem,Chicago,
Brussels CUSD 42,Brussels CUSD 42,Brussels,
Brussels Grade School,Brussels Grade School,Brussels,
Brussels High School,Brussels High School,Brussels,
Bryan Middle School,Bryan Middle School,Elmhurst,
Bryant Elem School,Bryant Elem School,Harvey,
Bryce Ash Grove Ed Ctr,Bryce Ash Grove Ed Ctr,Milford,
Budlong Elem School,Budlong Elem School,Chicago,
Buffalo Grove High School,Buffalo Grove High School,Buffalo Grove,
Buffalo Grove Montessori,Buffalo Grove Montessori,Buffalo Grove,
Buncombe Cons School,Buncombe Cons School,Buncombe,
Buncombe Cons SD 43,Buncombe Cons SD 43,Buncombe,
Bunker Hill CUSD 8,Bunker Hill CUSD 8,Bunker Hill,
Bunker Hill High School,Bunker Hill High School,Bunker Hill,
Burbank Elem School,Burbank Elem School,Chicago,
Burbank SD 111,Burbank SD 111,Burbank,
Bureau Valley CUSD 340,Bureau Valley CUSD 340,Manlius,
Bureau Valley Elementary and Junior High,Bureau Valley Elementary and Junior High,Manlius,
Bureau Valley Elemntry-Wyanet,Bureau Valley Elemntry-Wyanet,Wyanet,
Bureau Valley High School,Bureau Valley High School,Manlius,
Bureau Valley North,Bureau Valley North,Walnut,
Bureau/Henry/Stark ROE,Bureau/Henry/Stark ROE,Atkinson,
Burke Elem School,Burke Elem School,Chicago,
Burley Elem School,Burley Elem School,Chicago,
Burnham Elem Inclusive Academy,Burnham Elem Inclusive Academy,Chicago,
Burnham Elem School,Burnham Elem School,Burnham,
Burnham SD 154-5,Burnham SD 154-5,Burnham,
Burnside Elem Scholastic Academy,Burnside Elem Scholastic Academy,Chicago,
Burr Elem School,Burr Elem School,Chicago,
Burr Oak Academy,Burr Oak Academy,Calumet Park,
Burr Oak Elem School,Burr Oak Elem School,Calumet Park,
Burr Ridge Middle School,Burr Ridge Middle School,Burr Ridge,
